ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
MICHOACÁN DE OCAMPO,1989,26.81721101,27.19667544,28.46752452,30.53685376,32.02239601,30.2574552,27.65056101,27.02316503,26.3197964,27.12775968,27.79256803,25.02190502,°C
MORELOS,1989,28.87926601,28.98667255,30.27956989,31.93844189,32.5127957,29.50171137,28.14772727,27.37206745,26.98162748,27.46916729,28.77515151,27.2829912,°C
NAYARIT,1989,29.97872908,31.99298942,31.37475145,34.31594948,35.05709379,34.58749155,32.75980404,31.94062127,32.72836376,32.52416283,31.19711712,28.05743728,°C
NUEVO LEÓN,1989,21.21902627,20.96903693,26.28711506,29.02475755,32.75929143,33.04531845,32.44647898,31.10693494,29.12338739,27.24056292,23.89382244,16.89166426,°C
OAXACA,1989,28.98222181,28.46205146,29.39806016,31.44248442,31.69307004,29.28926638,28.9232853,28.87536657,27.46399123,28.12856533,28.73439172,27.5159595,°C
PUEBLA,1989,23.77299325,23.76950758,25.43241748,26.9326252,27.83415945,26.47076149,24.85543683,24.77049567,23.73101679,24.2798998,24.51672006,22.64819159,°C
QUERÉTARO,1989,23.88877913,23.51029711,26.21279004,28.21526316,30.04991039,27.98396396,26.08148794,24.97523976,23.89021164,24.81131299,25.07937729,21.75903935,°C
QUINTANA ROO,1989,30.15741959,30.08574742,31.38510678,33.0958867,33.42889384,33.88033293,33.7932593,33.40999851,32.51752688,31.41255103,30.81488839,28.24011891,°C
SAN LUIS POTOSÍ,1989,24.88894543,24.21313353,28.55910026,30.73317931,33.0385152,32.45586229,30.91937454,29.24393453,27.91173706,27.86520793,25.92025405,20.18404722,°C
SINALOA,1989,26.62167289,29.45385523,30.84249166,34.93563218,35.75125859,36.50333333,35.60389597,33.236511,34.68018868,34.61230585,30.45782248,26.97077069,°C
SONORA,1989,21.29029019,25.23458978,29.09859507,34.1932481,35.59910409,38.41735901,38.24651705,34.98569315,36.60242727,33.45666976,28.19746388,23.36373679,°C
TABASCO,1989,30.03966547,30.30854399,31.52461125,34.04654319,35.44070366,35.23405644,34.53800287,34.40913385,31.66129655,30.82583789,30.97785684,27.07391026,°C
